Id,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Season
31,2005-08-27,17.0,10.0,2.0,3.0,A,1.0,3.0,A,51.0,15.0,8.0,8.0,7.0,11.0,24.0,3.0,2.0,1.0,3.0,0.0,0.0,Ses2005/2006
32,2005-08-27,7.0,18.0,1.0,2.0,A,0.0,0.0,D,32.0,13.0,10.0,6.0,6.0,13.0,16.0,7.0,7.0,1.0,4.0,0.0,0.0,Ses2005/2006
33,2005-08-27,9.0,6.0,1.0,0.0,H,1.0,0.0,H,18.0,11.0,9.0,5.0,7.0,11.0,13.0,0.0,6.0,3.0,3.0,0.0,0.0,Ses2005/2006
34,2005-08-28,4.0,12.0,0.0,3.0,A,0.0,1.0,A,20.0,10.0,12.0,6.0,8.0,18.0,15.0,6.0,1.0,2.0,1.0,0.0,0.0,Ses2005/2006
35,2005-08-28,15.0,14.0,0.0,2.0,A,0.0,0.0,D,52.0,9.0,11.0,4.0,5.0,26.0,16.0,5.0,3.0,1.0,2.0,0.0,0.0,Ses2005/2006
36,2005-09-10,10.0,12.0,0.0,1.0,A,0.0,1.0,A,17.0,18.0,8.0,5.0,4.0,9.0,10.0,13.0,4.0,0.0,2.0,0.0,0.0,Ses2005/2006
37,2005-09-10,19.0,6.0,2.0,0.0,H,0.0,0.0,D,20.0,9.0,2.0,6.0,2.0,14.0,10.0,4.0,2.0,1.0,0.0,0.0,0.0,Ses2005/2006
38,2005-09-10,1.0,5.0,0.0,1.0,A,0.0,0.0,D,60.0,11.0,12.0,6.0,8.0,10.0,12.0,11.0,6.0,2.0,1.0,0.0,0.0,Ses2005/2006
39,2005-09-10,14.0,3.0,1.0,1.0,D,1.0,0.0,H,18.0,7.0,5.0,2.0,3.0,12.0,18.0,3.0,5.0,1.0,4.0,0.0,0.0,Ses2005/2006
40,2005-09-10,4.0,8.0,2.0,1.0,H,1.0,0.0,H,5.0,6.0,13.0,5.0,8.0,17.0,16.0,6.0,7.0,3.0,4.0,0.0,0.0,Ses2005/2006
41,2005-09-10,15.0,2.0,1.0,1.0,D,0.0,1.0,A,8.0,15.0,13.0,10.0,8.0,19.0,16.0,10.0,8.0,4.0,1.0,1.0,0.0,Ses2005/2006
42,2005-09-10,16.0,13.0,0.0,0.0,D,0.0,0.0,D,52.0,10.0,11.0,7.0,6.0,16.0,13.0,4.0,4.0,1.0,1.0,0.0,0.0,Ses2005/2006
43,2005-09-10,17.0,9.0,1.0,2.0,A,1.0,1.0,D,24.0,10.0,9.0,5.0,4.0,19.0,15.0,5.0,0.0,3.0,1.0,0.0,0.0,Ses2005/2006
44,2005-09-11,18.0,11.0,0.0,0.0,D,0.0,0.0,D,51.0,12.0,7.0,6.0,3.0,18.0,17.0,4.0,4.0,1.0,2.0,0.0,0.0,Ses2005/2006
45,2005-09-12,7.0,0.0,4.0,0.0,H,2.0,0.0,H,11.0,14.0,14.0,9.0,8.0,15.0,12.0,4.0,11.0,0.0,1.0,0.0,0.0,Ses2005/2006
46,2005-09-17,0.0,16.0,1.0,1.0,D,1.0,0.0,H,18.0,13.0,13.0,6.0,7.0,14.0,14.0,4.0,3.0,1.0,2.0,0.0,0.0,Ses2005/2006
47,2005-09-17,12.0,19.0,0.0,2.0,A,0.0,0.0,D,52.0,11.0,16.0,4.0,11.0,11.0,10.0,2.0,7.0,0.0,2.0,0.0,0.0,Ses2005/2006
48,2005-09-17,2.0,7.0,1.0,2.0,A,0.0,0.0,D,51.0,9.0,10.0,6.0,3.0,11.0,14.0,4.0,6.0,2.0,1.0,0.0,0.0,Ses2005/2006
49,2005-09-17,5.0,10.0,1.0,1.0,D,1.0,1.0,D,3.0,14.0,3.0,9.0,2.0,16.0,14.0,7.0,3.0,2.0,0.0,0.0,1.0,Ses2005/2006
50,2005-09-17,6.0,17.0,1.0,1.0,D,1.0,0.0,H,53.0,11.0,13.0,6.0,6.0,19.0,11.0,1.0,9.0,0.0,3.0,0.0,0.0,Ses2005/2006
51,2005-09-18,11.0,15.0,0.0,3.0,A,0.0,0.0,D,5.0,17.0,4.0,10.0,3.0,14.0,19.0,7.0,2.0,1.0,5.0,0.0,1.0,Ses2005/2006
52,2005-09-18,13.0,14.0,0.0,0.0,D,0.0,0.0,D,11.0,9.0,4.0,3.0,1.0,24.0,15.0,4.0,2.0,2.0,2.0,0.0,0.0,Ses2005/2006
53,2005-09-18,3.0,18.0,0.0,1.0,A,0.0,0.0,D,20.0,17.0,5.0,8.0,1.0,14.0,16.0,7.0,5.0,1.0,1.0,0.0,0.0,Ses2005/2006
54,2005-09-18,9.0,4.0,1.0,1.0,D,0.0,1.0,A,31.0,11.0,10.0,4.0,3.0,11.0,16.0,4.0,5.0,0.0,1.0,0.0,0.0,Ses2005/2006
55,2005-09-19,8.0,1.0,2.0,0.0,H,2.0,0.0,H,8.0,11.0,4.0,4.0,2.0,13.0,19.0,4.0,0.0,2.0,3.0,0.0,0.0,Ses2005/2006
56,2005-09-24,10.0,13.0,2.0,2.0,D,0.0,0.0,D,18.0,4.0,14.0,4.0,6.0,14.0,14.0,3.0,7.0,2.0,3.0,1.0,0.0,Ses2005/2006
57,2005-09-24,18.0,5.0,1.0,0.0,H,1.0,0.0,H,24.0,11.0,6.0,2.0,4.0,9.0,6.0,7.0,3.0,2.0,2.0,0.0,0.0,Ses2005/2006
58,2005-09-24,19.0,0.0,2.0,1.0,H,1.0,1.0,D,65.0,18.0,3.0,6.0,2.0,8.0,17.0,9.0,1.0,1.0,1.0,0.0,0.0,Ses2005/2006
